Nsteps,Threads,Time,Sp
1,1,0.631683,1
1,2,0.371853,1.6987438584601979
1,4,0.189324,3.3365183494961022
1,7,0.110325,5.7256560163154315
1,8,0.098181,6.4338619488495734
1,16,0.0666150,9.482594010358028
1,20,0.056344,11.211184864404373
1,40,0.056041,11.271801002837208
2,1,0.74483,0.84809016822630667
2,2,0.345631,1.8276225222853273
2,4,0.26419,2.3910178280782772
2,7,0.244398,2.5846488105467311
2,8,0.246165,2.56609591127902
2,16,0.284334,2.2216231614931736
2,20,0.266252,2.3725004882592433
2,40,0.265628,2.3780738476365446

