Task ID,Task Type,Argument,Result
3,pow,6.808901,46.361132
5,pow,2.908437,8.459009
9,pow,0.004661,0.000022
11,pow,3.364865,11.322317
14,pow,6.090536,37.094631
17,pow,4.539397,20.606122
20,pow,2.992489,8.954991
23,pow,6.832028,46.676605
26,pow,4.182647,17.494538
30,pow,0.942218,0.887776
32,pow,5.939759,35.280742
36,pow,2.941213,8.650735
38,pow,1.504862,2.264610
40,pow,7.482172,55.982901
42,pow,2.299584,5.288084
44,pow,9.596246,92.087930
46,pow,2.288333,5.236468
50,pow,7.638922,58.353131
52,pow,5.603489,31.399090
56,pow,7.562539,57.191999
59,pow,4.921332,24.219510
62,pow,0.239704,0.057458
65,pow,9.381392,88.010516
68,pow,8.018620,64.298264
70,pow,4.431452,19.637767
73,pow,7.039873,49.559808
78,pow,8.224097,67.635765
81,pow,4.032915,16.264406
84,pow,2.238944,5.012872
87,pow,3.145308,9.892964
89,pow,2.407133,5.794288
91,pow,5.643145,31.845084
93,pow,2.182056,4.761367
96,pow,3.331730,11.100422
98,pow,1.105990,1.223214
101,pow,2.996540,8.979249
103,pow,7.480402,55.956409
106,pow,4.427173,19.599858
109,pow,7.919225,62.714132
114,pow,8.592740,73.835183
115,pow,8.238207,67.868061
118,pow,0.707394,0.500406
119,pow,3.714398,13.796749
122,pow,0.472121,0.222898
123,pow,4.276034,18.284463
125,pow,0.305261,0.093184
128,pow,5.995959,35.951528
131,pow,4.595579,21.119344
135,pow,0.933429,0.871289
138,pow,2.271238,5.158523
140,pow,1.866091,3.482295
143,pow,5.639029,31.798647
146,pow,4.243252,18.005185
149,pow,2.274123,5.171633
152,pow,0.140159,0.019644
155,pow,7.149502,51.115384
158,pow,3.403214,11.581865
161,pow,7.130585,50.845236
165,pow,7.669111,58.815271
167,pow,2.128177,4.529137
169,pow,1.570643,2.466921
171,pow,8.095053,65.529888
173,pow,9.962355,99.248526
175,pow,7.887944,62.219655
177,pow,2.534318,6.422766
183,pow,8.933419,79.805974
186,pow,3.418361,11.685193
188,pow,6.586871,43.386876
191,pow,3.278332,10.747463
195,pow,3.003569,9.021426
199,pow,0.375698,0.141149
203,pow,4.718411,22.263405
205,pow,6.138680,37.683386
209,pow,1.909912,3.647765
211,pow,3.466913,12.019489
216,pow,5.086145,25.868871
219,pow,2.172705,4.720649
222,pow,8.341212,69.575823
225,pow,5.075132,25.756962
230,pow,0.844096,0.712498
233,pow,5.862534,34.369300
237,pow,1.158760,1.342724
240,pow,8.579805,73.613048
243,pow,5.753034,33.097399
246,pow,0.009430,0.000089
249,pow,7.690519,59.144084
250,pow,0.554351,0.307305
255,pow,7.597979,57.729286
258,pow,6.370524,40.583578
261,pow,6.377528,40.672868
264,pow,2.185274,4.775424
268,pow,1.741133,3.031545
273,pow,6.504354,42.306618
276,pow,6.358538,40.431004
279,pow,0.864482,0.747328
282,pow,1.509169,2.277592
285,pow,8.184190,66.980958
288,pow,0.467584,0.218634
291,pow,9.799372,96.027696
293,pow,1.445061,2.088202
297,pow,1.093932,1.196687
300,pow,7.072241,50.016600
304,pow,1.779862,3.167910
305,pow,0.171046,0.029257
308,pow,4.344920,18.878328
311,pow,0.504159,0.254177
314,pow,2.322633,5.394623
316,pow,3.459162,11.965805
319,pow,5.730305,32.836395
322,pow,2.615751,6.842153
324,pow,6.398031,40.934797
326,pow,5.979582,35.755395
329,pow,7.405190,54.836841
331,pow,4.502699,20.274297
334,pow,1.182592,1.398524
337,pow,5.169536,26.724098
342,pow,8.594031,73.857374
346,pow,3.263237,10.648718
349,pow,6.649829,44.220230
350,pow,4.533031,20.548366
353,pow,4.945785,24.460789
357,pow,5.452882,29.733923
