Task ID,Task Type,Argument,Result
1,sin,2.799671,0.335299
4,sin,9.561427,-0.136224
7,sin,0.826960,0.735876
10,sin,0.778938,0.702524
13,sin,3.876015,-0.670159
16,sin,3.230028,-0.088320
19,sin,1.612198,0.999143
21,sin,1.687754,0.993168
24,sin,3.203497,-0.061864
27,sin,6.076442,-0.205274
31,sin,3.459985,-0.313040
33,sin,3.503322,-0.353892
35,sin,3.693797,-0.524565
39,sin,0.575908,0.544597
43,sin,5.276632,-0.844994
47,sin,3.460787,-0.313802
48,sin,3.180659,-0.039056
51,sin,2.212534,0.801057
55,sin,6.902752,0.580682
58,sin,9.675799,-0.248393
61,sin,9.511849,-0.086961
63,sin,2.609735,0.507135
66,sin,3.377449,-0.233675
71,sin,4.856870,-0.989581
75,sin,1.183513,0.925939
77,sin,5.515879,-0.694199
80,sin,4.719094,-0.999978
82,sin,2.922032,0.217801
85,sin,7.220400,0.805912
86,sin,4.226065,-0.884057
90,sin,0.262415,0.259414
92,sin,6.450693,0.166725
97,sin,5.755068,-0.503908
100,sin,3.839983,-0.642986
104,sin,7.259353,0.828357
107,sin,6.425518,0.141853
110,sin,7.226749,0.809655
112,sin,2.661235,0.462096
116,sin,2.447667,0.639560
120,sin,1.364342,0.978764
126,sin,2.191808,0.813290
130,sin,8.311005,0.897370
133,sin,7.191983,0.788765
136,sin,1.008940,0.846268
139,sin,8.647029,0.701677
141,sin,8.425986,0.840818
144,sin,8.699323,0.663476
147,sin,1.706253,0.990840
150,sin,1.177869,0.923792
154,sin,2.067207,0.879298
157,sin,4.676516,-0.999357
160,sin,1.914793,0.941414
162,sin,2.367725,0.698906
164,sin,2.856563,0.281186
170,sin,3.943774,-0.718874
176,sin,4.559130,-0.988279
179,sin,7.361771,0.881290
182,sin,2.649451,0.472515
184,sin,7.342698,0.872117
189,sin,3.669347,-0.503594
192,sin,0.961469,0.820033
194,sin,0.898658,0.782492
197,sin,2.560716,0.548757
200,sin,5.591224,-0.638049
202,sin,4.102012,-0.819432
206,sin,0.445251,0.430685
208,sin,8.500710,0.798060
210,sin,9.377957,0.046804
213,sin,0.015338,0.015338
215,sin,4.605254,-0.994267
218,sin,9.523171,-0.098234
221,sin,2.357716,0.706030
224,sin,0.422660,0.410188
226,sin,2.253095,0.776125
229,sin,1.291079,0.961134
232,sin,5.987430,-0.291463
234,sin,1.737148,0.986195
238,sin,4.367126,-0.940986
242,sin,4.006463,-0.761011
245,sin,7.284766,0.842324
248,sin,6.916441,0.591772
252,sin,3.408346,-0.263601
253,sin,4.876022,-0.986642
256,sin,0.504281,0.483178
259,sin,7.709014,0.989511
262,sin,6.453296,0.169291
266,sin,1.378356,0.981540
267,sin,7.823904,0.999548
270,sin,2.743563,0.387603
272,sin,4.939126,-0.974405
275,sin,1.773251,0.979576
277,sin,7.270822,0.834727
280,sin,6.053455,-0.227715
283,sin,4.583977,-0.991767
286,sin,6.778209,0.475053
289,sin,6.501717,0.216797
292,sin,3.410588,-0.265763
294,sin,9.681369,-0.253784
296,sin,0.393350,0.383285
298,sin,2.001928,0.908494
301,sin,7.573320,0.960872
303,sin,2.939648,0.200575
307,sin,3.223835,-0.082150
310,sin,1.729124,0.987492
312,sin,7.316654,0.859080
315,sin,0.508708,0.487049
318,sin,3.985584,-0.747301
321,sin,5.682935,-0.564849
327,sin,8.618460,0.721744
330,sin,0.339283,0.332811
333,sin,6.459094,0.175003
335,sin,2.691670,0.434896
338,sin,1.929297,0.936424
341,sin,9.304028,0.120456
345,sin,1.742253,0.985337
347,sin,6.997540,0.655130
351,sin,5.645991,-0.594943
354,sin,5.901233,-0.372733
356,sin,7.009258,0.663938
360,sin,3.701939,-0.531479
364,sin,2.210900,0.802034
368,sin,2.318931,0.732959
