Task ID,Task Type,Argument,Result
2,sqrt,4.294460,2.072308
6,sqrt,4.317097,2.077763
8,sqrt,0.168414,0.410383
12,sqrt,6.561513,2.561545
15,sqrt,5.245545,2.290315
18,sqrt,2.490841,1.578240
22,sqrt,1.911188,1.382457
25,sqrt,9.368582,3.060814
28,sqrt,4.911121,2.216105
29,sqrt,6.244714,2.498943
34,sqrt,9.545594,3.089594
37,sqrt,1.379633,1.174578
41,sqrt,2.582548,1.607031
45,sqrt,6.072726,2.464290
49,sqrt,3.678357,1.917904
53,sqrt,6.468308,2.543287
54,sqrt,6.544646,2.558251
57,sqrt,9.955917,3.155300
60,sqrt,5.073939,2.252541
64,sqrt,2.809524,1.676163
67,sqrt,5.974079,2.444193
69,sqrt,9.159201,3.026417
72,sqrt,0.065394,0.255722
74,sqrt,9.960884,3.156087
76,sqrt,4.283398,2.069637
79,sqrt,0.749538,0.865758
83,sqrt,2.172355,1.473891
88,sqrt,3.670389,1.915826
94,sqrt,1.196694,1.093935
95,sqrt,7.978506,2.824625
99,sqrt,3.645947,1.909436
102,sqrt,1.068663,1.033761
105,sqrt,3.794044,1.947831
108,sqrt,7.226045,2.688130
111,sqrt,4.744012,2.178075
113,sqrt,5.844547,2.417550
117,sqrt,6.108520,2.471542
121,sqrt,2.843199,1.686179
124,sqrt,8.644342,2.940126
127,sqrt,2.035203,1.426605
129,sqrt,5.033640,2.243577
132,sqrt,3.681145,1.918631
134,sqrt,0.092372,0.303928
137,sqrt,6.451599,2.540000
142,sqrt,8.579961,2.929157
145,sqrt,1.991427,1.411179
148,sqrt,3.467138,1.862025
151,sqrt,4.863174,2.205261
153,sqrt,8.832972,2.972032
156,sqrt,8.490289,2.913810
159,sqrt,0.133699,0.365649
163,sqrt,5.188436,2.277814
166,sqrt,7.302916,2.702391
168,sqrt,6.319917,2.513945
172,sqrt,2.596105,1.611243
174,sqrt,2.016794,1.420139
178,sqrt,1.055949,1.027594
180,sqrt,6.723134,2.592901
181,sqrt,6.094266,2.468657
185,sqrt,6.777036,2.603274
187,sqrt,6.846015,2.616489
190,sqrt,6.993854,2.644590
193,sqrt,8.162887,2.857077
196,sqrt,1.168169,1.080819
198,sqrt,9.931924,3.151495
201,sqrt,7.164360,2.676632
204,sqrt,4.836929,2.199302
207,sqrt,3.206050,1.790545
212,sqrt,6.831631,2.613739
214,sqrt,7.057358,2.656569
217,sqrt,5.906109,2.430249
220,sqrt,5.842528,2.417132
223,sqrt,3.733910,1.932333
227,sqrt,1.311690,1.145290
228,sqrt,3.726687,1.930463
231,sqrt,3.464542,1.861328
235,sqrt,7.159062,2.675642
236,sqrt,2.791141,1.670671
239,sqrt,4.438358,2.106741
241,sqrt,6.078091,2.465378
244,sqrt,8.022625,2.832424
247,sqrt,9.073872,3.012287
251,sqrt,1.795716,1.340043
254,sqrt,3.521215,1.876490
257,sqrt,3.331848,1.825335
260,sqrt,0.465409,0.682209
263,sqrt,4.937499,2.222048
265,sqrt,4.794047,2.189531
269,sqrt,9.116176,3.019301
271,sqrt,2.832305,1.682945
274,sqrt,5.072549,2.252232
278,sqrt,8.023662,2.832607
281,sqrt,3.080688,1.755189
284,sqrt,4.597342,2.144141
287,sqrt,3.001130,1.732377
290,sqrt,6.406553,2.531117
295,sqrt,5.717455,2.391120
299,sqrt,6.775952,2.603066
302,sqrt,5.721317,2.391927
306,sqrt,7.059033,2.656884
309,sqrt,6.466545,2.542940
313,sqrt,3.109654,1.763421
317,sqrt,5.981352,2.445680
320,sqrt,5.948657,2.438987
323,sqrt,3.130185,1.769233
325,sqrt,2.357994,1.535576
328,sqrt,6.740489,2.596245
332,sqrt,0.358320,0.598599
336,sqrt,7.474917,2.734029
339,sqrt,7.424225,2.724743
340,sqrt,4.336125,2.082336
343,sqrt,1.373713,1.172055
344,sqrt,0.285119,0.533965
348,sqrt,7.478913,2.734760
352,sqrt,3.612155,1.900567
355,sqrt,7.006397,2.646960
358,sqrt,7.137983,2.671700
361,sqrt,1.716676,1.310220
365,sqrt,0.069159,0.262981
366,sqrt,7.242798,2.691245
369,sqrt,8.169999,2.858321
374,sqrt,0.715458,0.845848
377,sqrt,5.203919,2.281210
380,sqrt,6.626280,2.574156
384,sqrt,6.565466,2.562317
386,sqrt,3.648996,1.910235
388,sqrt,7.715735,2.777721
392,sqrt,5.799837,2.408285
395,sqrt,0.956118,0.977813
399,sqrt,6.660249,2.580746
402,sqrt,4.820774,2.195626
407,sqrt,1.818933,1.348678
414,sqrt,7.796680,2.792254
416,sqrt,2.040290,1.428387
418,sqrt,6.868217,2.620728
422,sqrt,5.603540,2.367180
425,sqrt,4.060952,2.015180
430,sqrt,2.320621,1.523358
433,sqrt,5.980389,2.445483
436,sqrt,8.174567,2.859120
440,sqrt,3.819027,1.954233
446,sqrt,1.843350,1.357700
448,sqrt,3.075002,1.753568
451,sqrt,7.887685,2.808502
455,sqrt,2.087715,1.444893
458,sqrt,6.744113,2.596943
460,sqrt,9.936659,3.152247
462,sqrt,7.836259,2.799332
467,sqrt,0.172640,0.415500
470,sqrt,4.740158,2.177190
473,sqrt,9.108371,3.018008
476,sqrt,0.682510,0.826142
478,sqrt,5.971901,2.443747
481,sqrt,3.901239,1.975156
485,sqrt,9.873640,3.142235
487,sqrt,6.301701,2.510319
490,sqrt,0.352455,0.593679
493,sqrt,0.553302,0.743843
497,sqrt,2.148302,1.465709
499,sqrt,8.254018,2.872981
503,sqrt,7.641880,2.764395
506,sqrt,3.685744,1.919829
510,sqrt,2.580497,1.606393
514,sqrt,2.466471,1.570500
518,sqrt,3.469190,1.862576
521,sqrt,4.775204,2.185224
525,sqrt,6.629050,2.574694
531,sqrt,8.725598,2.953912
534,sqrt,1.604647,1.266747
538,sqrt,0.082636,0.287465
541,sqrt,9.266879,3.044155
544,sqrt,8.021110,2.832156
548,sqrt,0.273122,0.522611
552,sqrt,8.534179,2.921332
557,sqrt,8.762737,2.960192
